fecha,grupo_edad,ccaa_iso,num_casos,num_def,num_hosp,num_uci
2020-01-04,80+,EX,0,0,0,0
2020-01-04,80+,GA,0,0,0,0
2020-01-04,80+,IB,0,0,0,0
2020-01-04,80+,MC,0,0,0,0
2020-01-04,80+,MD,0,0,1,0
2020-01-04,80+,PV,0,0,0,0
2020-01-04,80+,RI,0,0,0,0
2020-01-04,80+,VC,0,0,0,0
2020-01-04,NC,AN,0,0,0,0
2020-01-04,NC,AR,0,0,0,0
2020-01-04,NC,AS,0,0,0,0
2020-01-04,NC,CB,0,0,0,0
2020-01-04,NC,CL,0,0,0,0
2020-01-04,NC,CM,0,0,0,0
2020-01-04,NC,CN,0,0,0,0
2020-01-04,NC,CT,0,0,0,0
