ccaa,fecha,cases_50to59,cases_60to69,cases_70to79,cases_above80,cases_under50,deaths_under50,deaths_50to59,deaths_60to69,deaths_70to79,deaths_above80,hosp_under50,hosp_50to59,hosp_60to69,hosp_70to79,hosp_above80,uci_under50,uci_50to59,uci_60to69,uci_70to79,uci_above80
C.Mancha,2020-09-15,104,78,44,63,492,0,0,0,2,11,11,10,15,11,18,2,2,0,0,0
C.Valenciana,2020-09-15,65,54,23,27,342,0,2,1,1,5,8,7,13,10,8,1,1,2,0,0
Cantabria,2020-09-14,13,11,6,2,46,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0
Baleares,2020-09-14,20,16,13,5,87,0,0,0,0,1,2,2,5,1,4,1,1,1,1,0
Asturias,2020-09-14,9,7,0,1,35,0,0,0,0,1,0,4,2,3,0,0,0,1,0,0
no_ccaa,2020-09-14,6,5,2,0,27,0,0,0,0,0,4,2,1,0,1,0,0,0,0,0
Navarra,2020-09-14,46,23,11,10,223,0,0,0,0,1,3,5,2,7,2,0,2,0,1,0
Murcia,2020-09-14,59,32,15,13,402,0,0,0,0,1,6,5,6,5,7,2,0,3,1,0
Melilla,2020-09-14,2,0,1,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Madrid,2020-09-14,398,241,126,153,1645,1,0,0,2,19,81,58,49,41,88,2,6,5,10,0
La Rioja,2020-09-14,7,7,3,13,43,0,0,0,0,3,1,0,2,5,3,0,0,1,2,1
Aragón,2020-09-14,36,31,12,19,115,0,0,0,0,3,2,3,5,5,15,0,0,0,0,0
Canarias,2020-09-14,18,12,4,2,75,0,0,0,2,4,6,1,2,5,2,2,1,1,0,0
Ceuta,2020-09-14,1,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Galicia,2020-09-14,35,19,10,13,135,0,0,0,1,5,7,3,4,1,10,1,1,0,1,0
País Vasco,2020-09-14,44,34,22,35,180,0,0,0,1,9,7,7,8,6,12,4,0,1,3,0
Extremadura,2020-09-14,30,28,18,9,124,0,0,0,0,0,1,2,4,2,9,0,1,0,0,0
Cataluña,2020-09-14,134,81,77,58,711,0,2,0,3,13,4,6,9,12,13,1,0,0,0,0
C.León,2020-09-14,73,53,34,31,266,0,0,1,2,3,6,3,8,15,24,0,0,0,2,0
Andalucía,2020-09-14,113,73,62,68,478,0,1,0,4,13,18,12,18,24,16,2,0,3,1,2
C.Mancha,2020-09-14,70,57,29,27,352,0,1,1,0,4,9,7,9,15,13,0,1,2,0,0
C.Valenciana,2020-09-14,66,30,21,17,305,1,1,0,1,4,10,11,9,18,14,1,3,0,1,0
Cantabria,2020-09-13,9,13,5,4,77,0,0,0,0,0,3,2,3,1,0,0,0,1,0,0
Baleares,2020-09-13,10,8,4,4,39,0,0,0,0,3,2,2,5,2,4,2,1,2,0,0
Asturias,2020-09-13,9,8,3,2,48,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
no_ccaa,2020-09-13,6,9,4,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Navarra,2020-09-13,30,29,8,12,202,0,0,0,0,2,3,2,0,3,1,0,0,1,0,0
Murcia,2020-09-13,63,31,9,10,326,0,0,0,1,2,9,10,4,4,1,0,0,1,0,0
Melilla,2020-09-13,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Madrid,2020-09-13,217,133,65,106,989,2,2,0,4,20,59,43,45,38,60,6,7,3,2,0
La Rioja,2020-09-13,13,8,7,11,81,0,0,0,0,0,4,0,2,1,4,1,0,0,0,0
Aragón,2020-09-13,64,30,30,21,232,1,1,1,1,5,1,4,3,2,11,0,0,1,0,0
Canarias,2020-09-13,40,13,13,8,125,0,0,1,1,0,3,2,4,4,2,0,0,0,0,0
Ceuta,2020-09-13,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2020-09-13,35,24,26,9,176,0,0,0,2,4,1,2,2,1,11,1,1,0,0,1
País Vasco,2020-09-13,38,33,10,26,200,0,0,0,0,7,3,2,4,4,13,0,0,0,0,0
Extremadura,2020-09-13,22,19,8,8,106,0,0,0,0,0,0,2,2,2,3,0,1,0,1,0
Cataluña,2020-09-13,61,49,23,48,246,0,0,1,1,3,6,4,2,10,9,1,2,0,1,1
C.León,2020-09-13,60,56,26,35,266,0,0,0,1,6,12,6,8,8,10,1,1,0,4,0
Andalucía,2020-09-13,109,83,43,36,492,2,3,2,0,9,18,13,12,24,23,1,3,2,0,0
