ccaa,fecha,cases_50to59,cases_60to69,cases_70to79,cases_above80,cases_under50,deaths_under50,deaths_50to59,deaths_60to69,deaths_70to79,deaths_above80,hosp_under50,hosp_50to59,hosp_60to69,hosp_70to79,hosp_above80,uci_under50,uci_50to59,uci_60to69,uci_70to79,uci_above80
C.León,2021-09-15,10,10,4,5,44,1,0,1,0,6,1,0,0,2,4,0,0,0,0,0
Andalucía,2021-09-15,48,42,42,21,306,0,0,2,1,4,9,1,4,6,11,1,1,0,1,1
C.Mancha,2021-09-15,16,8,10,9,98,0,0,0,1,1,4,1,0,2,5,0,1,0,0,0
C.Valenciana,2021-09-15,30,27,20,3,193,0,0,0,2,1,1,8,4,7,7,0,2,1,1,0
Cantabria,2021-09-14,9,3,8,3,28,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
Baleares,2021-09-14,9,3,4,0,78,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Asturias,2021-09-14,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no_ccaa,2021-09-14,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Navarra,2021-09-14,4,1,4,1,33,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Murcia,2021-09-14,14,7,4,3,71,0,0,0,0,2,3,0,0,0,2,0,0,0,1,0
Melilla,2021-09-14,1,1,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,2021-09-14,58,46,24,38,379,0,0,0,0,2,8,4,7,8,16,0,1,2,1,0
La Rioja,2021-09-14,0,1,3,1,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Aragón,2021-09-14,12,13,3,5,57,0,0,0,1,1,1,0,0,1,3,0,0,0,0,0
Canarias,2021-09-14,17,15,7,2,86,0,1,2,0,2,2,1,0,4,1,0,0,0,0,0
Ceuta,2021-09-14,3,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Galicia,2021-09-14,7,6,10,13,66,0,0,0,0,3,3,1,1,1,2,2,0,1,0,0
País Vasco,2021-09-14,20,16,17,19,115,0,1,0,0,2,1,1,1,3,7,1,0,0,2,0
Extremadura,2021-09-14,3,5,3,4,34,0,1,0,1,1,0,1,0,2,2,1,1,0,0,0
Cataluña,2021-09-14,88,69,46,36,494,0,0,0,0,7,7,1,3,2,5,0,0,2,0,0
C.León,2021-09-14,13,11,18,59,65,0,0,1,1,2,0,0,0,1,1,0,1,0,0,0
Andalucía,2021-09-14,78,66,35,24,387,0,2,2,1,10,13,1,6,8,8,2,0,1,0,0
C.Mancha,2021-09-14,27,14,7,17,127,0,0,1,0,1,5,2,1,2,8,1,0,0,1,0
C.Valenciana,2021-09-14,33,32,20,13,181,0,1,1,2,2,3,4,0,5,2,0,1,0,0,0
Cantabria,2021-09-13,7,4,4,3,30,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
Baleares,2021-09-13,14,6,9,3,66,1,0,0,0,1,0,2,1,0,3,0,0,1,1,0
Asturias,2021-09-13,3,4,1,1,7,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
no_ccaa,2021-09-13,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navarra,2021-09-13,3,2,3,0,19,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
Murcia,2021-09-13,10,7,4,5,74,0,0,0,1,1,0,1,2,0,2,1,0,0,0,1
Melilla,2021-09-13,1,1,0,2,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Madrid,2021-09-13,59,44,32,32,402,0,1,0,0,4,11,7,8,9,15,1,0,3,1,0
La Rioja,2021-09-13,1,1,1,2,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Aragón,2021-09-13,12,5,7,4,91,1,0,0,1,0,0,0,2,1,4,0,0,0,1,1
Canarias,2021-09-13,15,14,7,3,67,0,0,1,0,0,1,1,4,3,0,0,0,1,1,0
Ceuta,2021-09-13,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2021-09-13,9,7,8,6,55,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0
País Vasco,2021-09-13,26,22,11,31,113,0,0,1,0,2,4,1,4,3,7,0,1,0,2,0
Extremadura,2021-09-13,11,8,4,11,36,0,0,0,1,1,3,0,1,1,6,0,0,0,0,0
Cataluña,2021-09-13,100,85,68,49,564,0,0,2,1,2,6,2,1,5,5,2,0,0,2,0
C.León,2021-09-13,9,10,8,25,50,0,0,1,0,4,1,0,0,1,5,1,0,0,0,0
Andalucía,2021-09-13,53,40,38,26,313,1,2,1,2,1,8,7,6,6,14,0,1,1,0,0
C.Mancha,2021-09-13,15,12,14,18,126,0,0,0,0,4,1,5,1,4,5,0,0,1,1,0
C.Valenciana,2021-09-13,21,20,10,10,189,0,0,0,0,1,3,1,2,3,3,0,0,1,1,0
Cantabria,2021-09-12,3,3,5,2,24,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0
Baleares,2021-09-12,13,14,4,0,56,0,0,0,0,1,0,2,1,2,1,0,0,0,2,0
Asturias,2021-09-12,1,2,3,1,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
no_ccaa,2021-09-12,3,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Navarra,2021-09-12,4,3,3,2,24,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
Murcia,2021-09-12,3,2,0,2,12,0,0,0,1,0,3,0,1,1,2,1,0,0,1,0
Melilla,2021-09-12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,2021-09-12,15,11,7,6,82,0,1,0,4,7,5,4,8,3,8,1,1,1,1,1
La Rioja,2021-09-12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón,2021-09-12,4,3,1,5,18,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0
Canarias,2021-09-12,5,5,4,3,60,0,1,0,0,1,3,0,2,3,1,1,0,1,0,0
Ceuta,2021-09-12,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Galicia,2021-09-12,7,5,10,6,59,0,0,0,0,0,3,1,0,0,2,0,1,0,1,0
País Vasco,2021-09-12,17,7,7,9,79,0,0,1,2,5,1,1,1,1,8,0,0,1,0,0
Extremadura,2021-09-12,7,3,1,3,20,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0
Cataluña,2021-09-12,27,22,12,10,140,1,0,1,0,3,3,2,1,3,6,0,0,0,1,0
C.León,2021-09-12,1,0,3,6,15,0,0,0,4,2,0,0,1,2,3,0,0,0,0,0
Andalucía,2021-09-12,24,21,14,15,129,0,0,3,3,6,10,3,3,4,11,1,2,1,0,0
C.Mancha,2021-09-12,3,4,3,11,37,0,0,0,1,3,1,4,0,1,3,0,0,0,0,0
C.Valenciana,2021-09-12,12,12,4,1,58,0,0,0,1,0,6,1,1,1,0,0,0,0,0,0
Cantabria,2021-09-11,8,3,1,1,22,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0
Baleares,2021-09-11,9,9,3,4,52,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0
Asturias,2021-09-11,1,2,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
no_ccaa,2021-09-11,0,1,2,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Navarra,2021-09-11,5,2,5,4,33,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Murcia,2021-09-11,7,3,2,1,34,0,0,0,1,0,5,1,0,1,1,0,0,0,0,0
Melilla,2021-09-11,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Madrid,2021-09-11,13,14,11,10,104,0,0,0,1,0,11,2,4,7,14,1,0,0,3,0
La Rioja,2021-09-11,2,0,2,1,8,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Aragón,2021-09-11,5,3,2,5,43,0,1,1,1,1,3,1,1,0,4,1,0,0,0,0
Canarias,2021-09-11,11,12,3,2,60,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
Ceuta,2021-09-11,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2021-09-11,12,8,13,9,82,1,0,0,0,1,3,1,2,1,6,0,0,2,0,0
País Vasco,2021-09-11,25,10,13,16,115,0,0,1,0,4,0,1,2,6,5,0,1,1,0,0
Extremadura,2021-09-11,1,3,8,4,27,0,0,2,1,1,0,0,0,1,1,0,0,0,1,0
Cataluña,2021-09-11,35,19,11,10,130,0,0,2,2,3,1,0,0,1,0,0,0,0,0,0
C.León,2021-09-11,8,8,12,8,59,0,0,1,1,3,3,0,0,4,1,0,0,0,0,0
Andalucía,2021-09-11,30,28,11,22,202,0,0,1,3,2,6,4,5,2,9,1,0,1,1,0
C.Mancha,2021-09-11,10,7,6,6,53,0,0,0,1,2,4,2,1,1,1,1,0,0,0,0
C.Valenciana,2021-09-11,25,7,8,3,96,0,0,0,0,2,5,3,1,2,3,0,1,0,0,0
Cantabria,2021-09-10,6,5,5,0,42,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0
Baleares,2021-09-10,17,8,7,6,75,0,0,0,0,0,2,2,0,2,6,0,0,0,1,2
Asturias,2021-09-10,2,1,4,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
no_ccaa,2021-09-10,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Navarra,2021-09-10,4,3,4,6,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Murcia,2021-09-10,15,4,3,3,65,0,0,0,1,0,3,2,1,1,0,1,0,1,0,0
Melilla,2021-09-10,1,1,1,0,25,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
Madrid,2021-09-10,67,65,37,52,461,0,0,0,0,6,17,5,8,8,26,4,2,0,0,0
La Rioja,2021-09-10,4,1,2,5,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Aragón,2021-09-10,10,6,6,4,96,0,0,0,0,4,1,0,0,5,5,0,0,0,0,1
Canarias,2021-09-10,26,10,4,4,84,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0
Ceuta,2021-09-10,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2021-09-10,18,23,13,8,87,0,0,0,2,3,3,0,3,3,2,1,0,1,0,0
País Vasco,2021-09-10,22,18,17,23,149,0,0,1,2,3,4,0,1,5,6,1,1,1,1,0
Extremadura,2021-09-10,9,3,9,7,50,0,0,0,0,8,2,0,0,2,3,1,0,0,1,0
Cataluña,2021-09-10,80,60,44,37,501,1,0,1,3,6,3,3,2,0,5,0,0,0,0,0
C.León,2021-09-10,10,22,9,10,73,0,1,0,1,4,2,1,3,0,7,0,1,0,1,0
Andalucía,2021-09-10,69,59,34,24,380,0,0,1,0,4,5,1,3,6,12,1,0,0,0,0
C.Mancha,2021-09-10,30,15,14,29,169,0,1,1,0,1,6,4,0,1,3,0,0,1,0,0
C.Valenciana,2021-09-10,30,31,17,7,222,1,0,0,0,0,7,2,2,0,3,0,0,1,0,0
Cantabria,2021-09-09,8,4,5,3,44,0,0,0,0,0,1,0,1,3,1,1,0,0,0,0
Baleares,2021-09-09,15,13,11,21,109,0,0,0,0,0,2,0,3,3,2,0,1,1,0,0
Asturias,2021-09-09,0,2,1,1,16,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0
no_ccaa,2021-09-09,1,1,1,2,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Navarra,2021-09-09,3,4,0,3,40,0,0,1,0,0,2,0,0,0,2,0,2,1,0,0
Murcia,2021-09-09,11,15,1,5,99,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0
Melilla,2021-09-09,1,0,2,0,9,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Madrid,2021-09-09,73,36,23,37,364,1,0,2,2,9,16,3,8,3,13,5,0,0,2,0
La Rioja,2021-09-09,3,2,0,2,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Aragón,2021-09-09,20,7,10,16,87,0,0,0,0,2,3,2,2,1,4,0,1,0,0,0
Canarias,2021-09-09,20,15,4,4,67,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0
Ceuta,2021-09-09,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2021-09-09,18,14,12,26,99,0,0,0,0,2,2,1,2,1,1,0,0,0,0,1
País Vasco,2021-09-09,33,18,13,28,120,0,0,1,3,3,5,2,2,2,6,0,0,1,0,0
Extremadura,2021-09-09,14,12,7,4,49,0,0,1,1,2,2,2,1,2,2,0,0,0,0,0
Cataluña,2021-09-09,75,58,40,31,508,0,0,2,2,8,3,0,2,2,0,0,0,0,1,1
C.León,2021-09-09,26,19,15,10,81,0,0,1,0,2,1,1,2,2,3,0,1,0,0,0
Andalucía,2021-09-09,78,61,47,40,421,0,1,1,2,8,12,4,5,8,7,0,4,1,1,1
C.Mancha,2021-09-09,21,20,12,23,150,0,0,0,1,4,2,0,3,2,4,0,0,1,1,0
C.Valenciana,2021-09-09,27,22,21,8,160,0,0,0,0,3,2,3,3,1,3,0,0,1,0,0
Cantabria,2021-09-08,6,7,4,6,34,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0
Baleares,2021-09-08,22,5,8,7,90,1,0,0,0,0,4,0,2,2,3,1,0,0,0,0
Asturias,2021-09-08,5,1,2,1,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
no_ccaa,2021-09-08,3,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navarra,2021-09-08,4,7,4,19,43,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0
Murcia,2021-09-08,17,9,5,5,101,0,0,0,0,0,1,2,2,0,4,1,0,1,1,0
Melilla,2021-09-08,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,2021-09-08,71,61,34,50,462,1,0,2,1,5,22,3,7,8,23,2,1,3,1,1
La Rioja,2021-09-08,1,1,1,2,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Aragón,2021-09-08,16,9,9,9,76,0,1,0,1,3,1,1,1,2,4,0,0,0,0,0
Canarias,2021-09-08,21,6,8,6,102,0,0,0,0,0,2,0,1,1,3,0,0,2,1,0
Ceuta,2021-09-08,4,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Galicia,2021-09-08,29,14,19,8,112,0,1,0,1,2,2,2,2,1,7,1,0,0,0,0
País Vasco,2021-09-08,33,20,25,18,130,2,1,0,1,3,5,5,4,3,7,0,1,2,0,1
Extremadura,2021-09-08,13,5,3,8,32,0,1,0,0,2,0,1,0,0,4,0,0,0,0,0
Cataluña,2021-09-08,92,77,53,42,499,2,1,1,4,3,4,2,5,7,3,0,0,1,1,0
C.León,2021-09-08,16,10,8,5,54,0,0,0,0,7,0,1,2,2,8,0,0,1,1,0
Andalucía,2021-09-08,69,48,42,28,353,0,0,1,1,7,11,3,6,8,9,1,2,1,0,0
C.Mancha,2021-09-08,21,15,13,9,132,0,0,0,0,4,3,2,4,4,4,0,1,3,0,1
C.Valenciana,2021-09-08,36,18,7,12,170,0,1,1,0,3,6,0,1,4,3,2,0,0,1,0
Cantabria,2021-09-07,9,3,2,3,43,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0
Baleares,2021-09-07,16,11,7,3,85,0,0,1,1,1,1,0,0,2,2,1,0,0,0,0
Asturias,2021-09-07,0,0,4,1,23,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0
no_ccaa,2021-09-07,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navarra,2021-09-07,2,4,4,2,43,0,0,0,1,0,1,3,0,1,1,1,0,1,0,0
Murcia,2021-09-07,15,11,11,9,110,0,0,0,0,0,5,2,0,2,1,0,0,0,0,0
Melilla,2021-09-07,5,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,2021-09-07,88,68,48,55,598,1,0,0,4,3,20,10,14,7,14,2,2,1,0,0
La Rioja,2021-09-07,0,2,1,3,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Aragón,2021-09-07,21,13,4,12,129,0,0,0,2,1,6,2,0,2,3,0,1,0,0,0
Canarias,2021-09-07,19,12,10,4,84,0,1,1,0,1,4,3,4,2,3,1,0,1,1,0
Ceuta,2021-09-07,1,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2021-09-07,12,17,16,11,105,0,0,1,0,2,2,2,1,2,5,1,0,2,0,0
País Vasco,2021-09-07,29,19,25,32,158,0,1,2,1,6,5,2,3,7,16,0,0,0,0,0
Extremadura,2021-09-07,17,12,13,22,81,0,0,0,0,0,0,2,1,3,12,0,0,0,1,0
Cataluña,2021-09-07,98,76,50,46,592,0,0,0,2,8,9,4,3,0,5,0,0,0,0,0
C.León,2021-09-07,16,24,28,66,93,0,0,1,0,1,3,0,0,7,9,1,0,1,0,0
Andalucía,2021-09-07,88,72,52,53,497,1,1,0,1,4,14,8,11,3,16,1,2,2,0,0
C.Mancha,2021-09-07,31,24,25,14,217,0,0,0,1,3,3,2,4,3,11,0,0,1,0,0
C.Valenciana,2021-09-07,50,24,14,15,220,1,1,1,2,2,7,3,2,3,5,0,1,0,1,0
Cantabria,2021-09-06,10,4,3,3,38,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
Baleares,2021-09-06,15,13,7,5,90,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Asturias,2021-09-06,4,4,0,2,10,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
no_ccaa,2021-09-06,1,3,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Navarra,2021-09-06,11,6,6,2,42,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Murcia,2021-09-06,19,14,3,5,106,1,0,0,0,0,3,3,3,2,2,1,1,1,0,0
Melilla,2021-09-06,2,1,1,0,9,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Madrid,2021-09-06,76,68,44,64,453,0,0,2,1,6,21,7,14,11,21,0,1,2,2,0
La Rioja,2021-09-06,4,2,1,1,15,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0
Aragón,2021-09-06,18,8,5,11,83,0,0,1,1,2,1,3,0,0,8,1,0,1,0,0
Canarias,2021-09-06,18,4,5,6,70,0,0,0,0,2,1,2,4,2,5,0,1,1,2,1
Ceuta,2021-09-06,3,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Galicia,2021-09-06,27,17,9,7,114,0,0,1,1,0,4,0,4,2,3,0,0,1,2,0
País Vasco,2021-09-06,42,18,20,10,146,0,0,0,0,5,4,2,4,2,8,0,0,0,1,0
Extremadura,2021-09-06,17,11,11,17,71,0,0,0,1,2,1,0,0,3,6,0,1,0,0,0
Cataluña,2021-09-06,129,89,74,61,628,0,2,4,2,3,9,2,2,3,6,0,1,0,0,0
C.León,2021-09-06,25,20,16,22,88,0,0,0,2,6,7,2,1,2,8,0,0,0,1,0
Andalucía,2021-09-06,73,49,35,27,398,0,3,4,3,3,17,7,12,6,10,1,0,1,1,0
C.Mancha,2021-09-06,31,22,12,28,146,0,1,0,0,3,2,3,3,1,4,0,1,0,1,0
C.Valenciana,2021-09-06,40,24,11,13,222,0,0,2,0,2,7,0,2,3,5,0,0,1,0,0
Cantabria,2021-09-05,5,2,3,1,42,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Baleares,2021-09-05,13,1,3,3,63,0,0,0,0,0,3,0,1,0,2,1,0,1,0,0
Asturias,2021-09-05,3,1,2,2,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
no_ccaa,2021-09-05,0,2,3,0,15,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0
Navarra,2021-09-05,5,1,1,0,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Murcia,2021-09-05,7,4,3,6,31,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
Melilla,2021-09-05,2,2,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Madrid,2021-09-05,21,14,9,18,151,0,0,1,2,9,16,12,8,7,14,4,2,2,1,0
La Rioja,2021-09-05,1,2,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón,2021-09-05,8,5,5,23,37,0,0,0,0,2,0,1,1,2,1,0,0,0,0,0
Canarias,2021-09-05,9,6,3,5,53,0,0,1,0,1,0,0,0,1,6,0,0,0,0,0
Ceuta,2021-09-05,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Galicia,2021-09-05,17,23,24,27,88,0,0,0,1,3,3,2,1,2,2,1,0,0,1,0
País Vasco,2021-09-05,28,13,9,12,140,0,0,0,0,4,5,4,2,1,9,1,1,1,0,0
Extremadura,2021-09-05,11,4,6,5,35,0,0,0,0,2,1,0,0,2,3,0,0,0,1,0
Cataluña,2021-09-05,24,24,17,12,185,0,1,2,2,5,11,1,2,3,7,2,0,1,0,0
C.León,2021-09-05,11,8,8,9,56,0,0,1,2,1,6,0,3,3,7,2,0,0,1,0
Andalucía,2021-09-05,27,22,16,19,174,2,0,1,0,5,10,3,4,3,18,0,0,1,0,0
C.Mancha,2021-09-05,4,9,3,10,41,1,0,0,2,3,2,1,1,2,3,1,0,0,0,0
C.Valenciana,2021-09-05,19,5,10,9,66,0,1,0,0,2,3,2,0,2,9,2,1,0,0,0
Cantabria,2021-09-04,8,5,3,1,67,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Baleares,2021-09-04,10,4,3,4,91,1,0,0,0,0,0,1,2,2,1,0,0,1,1,0
Asturias,2021-09-04,5,2,3,3,12,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0
no_ccaa,2021-09-04,1,0,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Navarra,2021-09-04,4,2,2,1,51,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0
Murcia,2021-09-04,8,4,5,2,57,1,0,0,0,1,1,1,2,2,2,0,1,0,0,0
Melilla,2021-09-04,1,0,0,1,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Madrid,2021-09-04,20,18,13,23,166,0,0,2,0,8,18,3,11,7,21,1,1,2,1,0
La Rioja,2021-09-04,2,1,1,2,8,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Aragón,2021-09-04,16,7,13,41,83,0,0,0,1,1,1,0,3,3,2,0,0,0,0,1
Canarias,2021-09-04,11,12,6,7,77,0,2,1,0,1,1,2,0,2,5,1,1,0,2,0
Ceuta,2021-09-04,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2021-09-04,20,15,15,11,121,0,0,0,1,2,5,1,0,2,2,1,1,0,1,0
País Vasco,2021-09-04,36,14,14,13,146,0,1,0,0,2,1,0,3,3,4,0,0,1,0,0
Extremadura,2021-09-04,15,5,8,17,55,0,0,0,1,2,0,1,2,4,5,0,0,0,0,0
Cataluña,2021-09-04,38,42,19,17,218,0,1,1,0,3,6,0,5,3,6,0,0,1,0,0
C.León,2021-09-04,12,10,11,17,28,0,0,0,1,5,1,0,3,2,6,0,0,0,0,0
Andalucía,2021-09-04,58,48,29,28,325,1,0,2,1,4,14,5,7,8,13,1,1,2,1,1
C.Mancha,2021-09-04,19,13,5,24,116,0,0,1,0,1,1,0,1,2,5,0,1,0,1,0
C.Valenciana,2021-09-04,34,15,13,8,123,0,0,0,4,0,4,4,3,2,4,0,0,1,0,0
Cantabria,2021-09-03,11,4,3,6,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Baleares,2021-09-03,18,8,7,6,102,0,0,0,1,2,1,2,1,1,0,0,1,2,1,0
Asturias,2021-09-03,8,5,2,0,21,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0
no_ccaa,2021-09-03,2,1,2,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navarra,2021-09-03,12,5,5,6,35,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
Murcia,2021-09-03,12,11,2,2,106,0,0,0,1,0,4,4,2,0,3,0,0,0,0,0
Melilla,2021-09-03,1,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,2021-09-03,122,73,41,61,682,0,1,3,1,7,21,12,12,8,23,2,1,1,1,0
La Rioja,2021-09-03,5,3,2,2,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aragón,2021-09-03,15,9,7,16,107,0,0,0,1,1,1,0,2,1,7,1,0,0,0,1
Canarias,2021-09-03,13,15,8,7,101,1,0,0,1,1,3,0,0,2,4,0,0,1,0,0
Ceuta,2021-09-03,2,1,2,1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Galicia,2021-09-03,35,24,16,22,156,0,0,0,1,3,2,1,2,1,11,2,0,0,1,0
País Vasco,2021-09-03,31,36,16,17,191,0,0,1,1,4,6,4,4,3,1,0,0,0,0,0
Extremadura,2021-09-03,20,9,9,13,93,0,0,0,1,4,0,0,1,3,9,0,0,0,0,0
Cataluña,2021-09-03,76,65,44,46,417,0,0,4,1,7,2,2,8,5,6,1,0,1,1,1
C.León,2021-09-03,27,24,19,24,127,0,1,1,0,2,0,1,1,4,5,1,0,0,0,0
Andalucía,2021-09-03,105,66,50,31,534,0,1,1,5,4,11,7,9,5,14,0,3,3,1,0
C.Mancha,2021-09-03,28,29,16,18,213,0,0,1,0,3,10,5,1,5,10,1,0,0,2,0
C.Valenciana,2021-09-03,47,36,18,15,308,1,1,0,1,4,5,1,1,5,6,1,0,1,1,0
Cantabria,2021-09-02,14,8,6,3,53,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0
Baleares,2021-09-02,17,16,6,2,110,0,1,0,1,0,6,2,1,2,0,3,0,0,1,0
Asturias,2021-09-02,4,10,4,4,37,0,0,0,0,1,1,1,1,1,3,0,0,0,0,1
no_ccaa,2021-09-02,3,4,1,0,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Navarra,2021-09-02,9,7,2,18,71,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0
Murcia,2021-09-02,20,14,6,5,98,1,0,0,2,1,3,2,2,0,0,1,1,1,0,0
Melilla,2021-09-02,1,0,2,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Madrid,2021-09-02,92,60,44,48,611,0,0,2,1,6,32,9,12,4,22,4,1,3,2,0
La Rioja,2021-09-02,2,3,1,0,29,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0
Aragón,2021-09-02,15,17,13,22,133,0,0,2,0,3,4,0,2,3,4,1,0,0,0,0
Canarias,2021-09-02,22,13,7,10,105,1,0,0,1,2,3,1,5,4,4,1,1,1,1,1
Ceuta,2021-09-02,4,1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Galicia,2021-09-02,35,19,15,23,187,0,0,0,0,3,8,1,2,1,6,0,1,0,0,0
País Vasco,2021-09-02,49,20,26,27,225,0,0,0,0,3,6,5,0,7,12,0,1,0,1,0
Extremadura,2021-09-02,19,9,9,27,107,1,0,0,1,2,0,0,1,3,5,0,0,1,0,0
Cataluña,2021-09-02,109,62,47,42,546,1,0,1,3,4,3,1,3,7,11,0,0,1,1,0
C.León,2021-09-02,23,20,16,38,109,0,0,0,1,4,3,3,1,3,11,2,0,0,1,0
Andalucía,2021-09-02,94,84,54,45,599,1,3,1,2,8,17,8,10,15,14,0,2,3,1,0
C.Mancha,2021-09-02,37,30,19,21,242,0,0,0,0,2,2,2,2,3,7,0,0,1,0,1
